cohort_id,cohort_version,freeze_date,freeze_date_tag,snapshot_read_only,record_id,doi,year,outcome_id,target_name,matrix_before,matrix_after,treatment_process,outcome_type,reported_outcome_value,reported_outcome_unit,calculated_by_llm,paired_data_status,reported_outcome_value_min,reported_outcome_value_max,repair_applied,linked_measurement_ids,extraction_source,extraction_model,prompt_rule_version,value_scope,inter_run_agreement,normalized_target_name,normalized_arg_class,normalized_target_type,target_scope,target_eligibility_for_quant,normalized_matrix_before,matrix_before_group,normalized_matrix_after,matrix_after_group,normalized_treatment_process,treatment_group,matrix_transition_type,matrix_transition_before_class,matrix_transition_after_class,normalized_outcome_type,outcome_group,normalized_outcome_unit,outcome_unit_family,log_harmonization_status,outcome_direction,normalized_paired_data_status,valid_for_removal_synthesis,pairing_quality_flag,processing_stream,direction_inference_label,direction_inference_confidence,analysis_value,value_parse_method,gene_family,route,outlier_flag,rescued_normalized_treatment_process,rescued_treatment_group,rescued_technology_supergroup,technology_supergroup,technology_supergroup_4group
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0052,10.1016/j.envpol.2022.120618,2023,O_000062,tetM,fresh swine manure,composted swine manure,composting,reduction,92.0,percent,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,tetM,tetracycline resistance,ARG,gene_specific,Yes,fresh swine manure,unclear,composted swine manure,unclear,sludge_composting,sludge_treatment,cross_stage_route,animal_manure,composted_manure,reduction,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,92.0,single_numeric,tet,animal_manure_to_composted_manure,,sludge_composting,sludge_treatment,biological-advanced,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0052,10.1016/j.envpol.2022.120618,2023,O_000063,sul2,fresh swine manure,composted swine manure,composting,reduction,48.0,percent,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,sul2,sulfonamide resistance,ARG,gene_specific,Yes,fresh swine manure,unclear,composted swine manure,unclear,sludge_composting,sludge_treatment,cross_stage_route,animal_manure,composted_manure,reduction,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,48.0,single_numeric,sul,animal_manure_to_composted_manure,,sludge_composting,sludge_treatment,biological-advanced,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0098,10.1016/j.jece.2022.109216,2023,O_000148,ermF,influent,effluent,modified A2/O,removal_efficiency,41.11,%,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,ermF,macrolide-lincosamide-streptogramin resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,modified A2/O,unclear,cross_stage_route,influent,final_effluent,removal_efficiency,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,41.11,single_numeric,erm,influent_to_final_effluent,,A2O,secondary_biological_treatment,disinfection,disinfection,disinfection
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0098,10.1016/j.jece.2022.109216,2023,O_000149,aadA24,influent,effluent,modified A2/O,removal_efficiency,23.33,%,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,aadA24,aminoglycoside resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,modified A2/O,unclear,cross_stage_route,influent,final_effluent,removal_efficiency,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,23.33,single_numeric,other,influent_to_final_effluent,,A2O,secondary_biological_treatment,disinfection,disinfection,disinfection
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0132,10.1007/s11356-023-31287-w,2024,O_000190,intI1,influent,final effluent,vermifiltration,reduction,98.24,percent,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,intI1,mobile genetic element marker,intI1_marker,mge_marker,Yes,influent,liquid_influent,final_effluent,liquid_effluent,vermifiltration,unclear,cross_stage_route,influent,final_effluent,reduction,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,98.24,single_numeric,intI1,influent_to_final_effluent,,vermifiltration,nature_based_treatment,biological-advanced,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0132,10.1007/s11356-023-31287-w,2024,O_000191,tetO,influent,final effluent,vermifiltration,reduction,28.2,percent,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,tetO,tetracycline resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,vermifiltration,unclear,cross_stage_route,influent,final_effluent,reduction,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,28.2,single_numeric,tet,influent_to_final_effluent,,vermifiltration,nature_based_treatment,biological-advanced,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0132,10.1007/s11356-023-31287-w,2024,O_000192,tetW,influent,final effluent,vermifiltration,reduction,24.8,percent,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,tetW,tetracycline resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,vermifiltration,unclear,cross_stage_route,influent,final_effluent,reduction,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,24.8,single_numeric,tet,influent_to_final_effluent,,vermifiltration,nature_based_treatment,biological-advanced,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0132,10.1007/s11356-023-31287-w,2024,O_000193,tetM,influent,final effluent,vermifiltration,reduction,20.2,percent,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,tetM,tetracycline resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,vermifiltration,unclear,cross_stage_route,influent,final_effluent,reduction,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,20.2,single_numeric,tet,influent_to_final_effluent,,vermifiltration,nature_based_treatment,biological-advanced,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0132,10.1007/s11356-023-31287-w,2024,O_000194,tetQ,influent,final effluent,vermifiltration,reduction,25.4,percent,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,tetQ,tetracycline resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,vermifiltration,unclear,cross_stage_route,influent,final_effluent,reduction,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,25.4,single_numeric,tet,influent_to_final_effluent,,vermifiltration,nature_based_treatment,biological-advanced,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0132,10.1007/s11356-023-31287-w,2024,O_000195,sul1,influent,final effluent,vermifiltration,reduction,29.6,percent,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,sul1,sulfonamide resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,vermifiltration,unclear,cross_stage_route,influent,final_effluent,reduction,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,29.6,single_numeric,sul,influent_to_final_effluent,,vermifiltration,nature_based_treatment,biological-advanced,biological,biological
