cohort_id,cohort_version,freeze_date,freeze_date_tag,snapshot_read_only,record_id,doi,year,measurement_id,sample_id,target_name,target_type,matrix,treatment_process,raw_value,value_min,value_max,mean_value,median_value,sd,se,unit,log_transformed,normalization_method,basis,detection_method,n_samples,time_point,before_after_status,extraction_source,extraction_model,prompt_rule_version,value_scope,inter_run_agreement,normalized_target_name,normalized_arg_class,normalized_target_type,target_scope,target_eligibility_for_quant,normalized_matrix,matrix_group,matrix_fraction,stage_or_timepoint,normalized_treatment_process,treatment_group,raw_unit,raw_unit_pre_normalized,normalized_unit,unit_family,normalized_value,conversion_applied,conversion_note,final_unit,numeric_handling_status,quantitative_synthesis_eligible,detection_status,lod_loq_value,lod_loq_unit,processing_stream,normalized_value_numeric,unit_track,analysis_log10_value,analysis_display_unit,gene_family,matrix_bucket,target_cohort,usable_for_log10_abundance_synthesis,abundance_outlier_flag
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0016,10.1002/wer.1125,2019,M_000024,INF,sulI,ARG,influent,influent,1100000000.0,,,,,,,copies/L,No,not reported,absolute abundance,qPCR,not reported,August 2018,influent,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,sul1,sulfonamide resistance,ARG,gene_specific,Yes,influent,liquid_influent,,,influent,unclear,copies/L,copies/L,copies_per_L,absolute_abundance_liquid,1100000.0,Yes,copies/L ÷ 1000 → copies/mL,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,1100000.0,liquid_absolute_log10_copies_per_mL_equivalent,6.041392685158225,log10 copies/mL,sul,influent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0016,10.1002/wer.1125,2019,M_000028,INF,mcr-1,ARG,influent,influent,4000000.0,,,,,,,copies/L,No,not reported,absolute abundance,qPCR,not reported,August 2018,influent,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,mcr-1,colistin resistance,ARG,gene_specific,Yes,influent,liquid_influent,,,influent,unclear,copies/L,copies/L,copies_per_L,absolute_abundance_liquid,4000.0,Yes,copies/L ÷ 1000 → copies/mL,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,4000.0,liquid_absolute_log10_copies_per_mL_equivalent,3.6020599913279625,log10 copies/mL,other,influent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0038,10.1007/s11356-025-35988-2,2025,M_000044,R0038-S1,qnrB,ARG,influent,UVC photoreactor,,,,167.87,21.66,340.66,,copies/mL,No,not reported,absolute abundance,qPCR,not reported,influent,before_treatment,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,qnrB,quinolone resistance,ARG,gene_specific,Yes,influent,liquid_influent,,,UVC photoreactor,unclear,copies/mL,copies/mL,copies_per_mL,absolute_abundance_liquid,167.87,No,,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,167.87,liquid_absolute_log10_copies_per_mL_equivalent,2.2249730904288327,log10 copies/mL,qnr,influent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0038,10.1007/s11356-025-35988-2,2025,M_000045,R0038-S2,qnrB,ARG,effluent,UVC photoreactor,,,,119.54,7.08,382.51,,copies/mL,No,not reported,absolute abundance,qPCR,not reported,effluent,after_treatment,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,qnrB,quinolone resistance,ARG,gene_specific,Yes,final_effluent,liquid_effluent,,,UVC photoreactor,unclear,copies/mL,copies/mL,copies_per_mL,absolute_abundance_liquid,119.54,No,,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,119.54,liquid_absolute_log10_copies_per_mL_equivalent,2.077513251497663,log10 copies/mL,qnr,final_effluent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0038,10.1007/s11356-025-35988-2,2025,M_000046,R0038-S1,sul1,ARG,influent,UVC photoreactor,,,,86630662.31,10714127.18,373919761.87,,copies/mL,No,not reported,absolute abundance,qPCR,not reported,influent,before_treatment,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,sul1,sulfonamide resistance,ARG,gene_specific,Yes,influent,liquid_influent,,,UVC photoreactor,unclear,copies/mL,copies/mL,copies_per_mL,absolute_abundance_liquid,86630662.31,No,,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,86630662.31,liquid_absolute_log10_copies_per_mL_equivalent,7.93767163468619,log10 copies/mL,sul,influent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0038,10.1007/s11356-025-35988-2,2025,M_000047,R0038-S2,sul1,ARG,effluent,UVC photoreactor,,,,128865724.16,3136765.82,498738107.45,,copies/mL,No,not reported,absolute abundance,qPCR,not reported,effluent,after_treatment,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,sul1,sulfonamide resistance,ARG,gene_specific,Yes,final_effluent,liquid_effluent,,,UVC photoreactor,unclear,copies/mL,copies/mL,copies_per_mL,absolute_abundance_liquid,128865724.16,No,,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,128865724.16,liquid_absolute_log10_copies_per_mL_equivalent,8.110137418612748,log10 copies/mL,sul,final_effluent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0038,10.1007/s11356-025-35988-2,2025,M_000048,R0038-S1,ermB,ARG,influent,UVC photoreactor,,,,38003.17,26406.54,2385683.86,,copies/mL,No,not reported,absolute abundance,qPCR,not reported,influent,before_treatment,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,ermB,macrolide-lincosamide-streptogramin resistance,ARG,gene_specific,Yes,influent,liquid_influent,,,UVC photoreactor,unclear,copies/mL,copies/mL,copies_per_mL,absolute_abundance_liquid,38003.17,No,,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,38003.17,liquid_absolute_log10_copies_per_mL_equivalent,4.579819824408584,log10 copies/mL,erm,influent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0038,10.1007/s11356-025-35988-2,2025,M_000049,R0038-S2,ermB,ARG,effluent,UVC photoreactor,,,,1279542.17,54885.58,3293125.52,,copies/mL,No,not reported,absolute abundance,qPCR,not reported,effluent,after_treatment,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,ermB,macrolide-lincosamide-streptogramin resistance,ARG,gene_specific,Yes,final_effluent,liquid_effluent,,,UVC photoreactor,unclear,copies/mL,copies/mL,copies_per_mL,absolute_abundance_liquid,1279542.17,No,,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,1279542.17,liquid_absolute_log10_copies_per_mL_equivalent,6.1070546035459925,log10 copies/mL,erm,final_effluent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0038,10.1007/s11356-025-35988-2,2025,M_000050,R0038-S1,intI1,intI1_marker,influent,UVC photoreactor,,,,723608728.28,141359988.63,4223133471.68,,copies/mL,No,not reported,absolute abundance,qPCR,not reported,influent,before_treatment,text_only_gpt5.4mini,gpt-5.4-mini,,,,intI1,mobile genetic element marker,intI1_marker,mge_marker,Yes,influent,liquid_influent,,,UVC photoreactor,unclear,copies/mL,copies/mL,copies_per_mL,absolute_abundance_liquid,723608728.28,No,,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,needs_value_scope_review,723608728.28,liquid_absolute_log10_copies_per_mL_equivalent,8.859503796746342,log10 copies/mL,intI1,influent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0038,10.1007/s11356-025-35988-2,2025,M_000051,R0038-S2,intI1,intI1_marker,effluent,UVC photoreactor,,,,1420869186.69,10036730.45,5883837614.18,,copies/mL,No,not reported,absolute abundance,qPCR,not reported,effluent,after_treatment,text_only_gpt5.4mini,gpt-5.4-mini,,,,intI1,mobile genetic element marker,intI1_marker,mge_marker,Yes,final_effluent,liquid_effluent,,,UVC photoreactor,unclear,copies/mL,copies/mL,copies_per_mL,absolute_abundance_liquid,1420869186.69,No,,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,needs_value_scope_review,1420869186.69,liquid_absolute_log10_copies_per_mL_equivalent,9.152554096144357,log10 copies/mL,intI1,final_effluent,gene_mge,Yes,
