cohort_version,freeze_date,freeze_date_tag,gene_family,normalized_target_name,matrix_bucket,n_studies_reported_detected,n_rows_reported_detected,note
v1.0,2026-06-27,20260627,sul,sul1,matrix_unclear,100,412,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,intI1,intI1,matrix_unclear,90,395,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,sul,sul1,influent,60,94,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,sul,sul2,matrix_unclear,59,210,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,intI1,intI1,influent,52,87,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,sul,sul1,final_effluent,47,97,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,intI1,intI1,sludge,43,80,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,erm,ermB,matrix_unclear,39,171,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetA,matrix_unclear,38,139,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,bla,blaTEM,matrix_unclear,37,187,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,intI1,intI1,final_effluent,34,76,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,sul,sul1,sludge,28,61,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,intI1,intI1,secondary_effluent,28,35,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,sul,sul1,secondary_effluent,26,38,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,sul,sul2,influent,26,36,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetM,matrix_unclear,25,62,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetW,matrix_unclear,23,95,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,qnr,qnrS,matrix_unclear,21,92,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,bla,blaTEM,influent,20,34,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,erm,ermB,final_effluent,18,50,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,erm,ermB,influent,18,35,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,sul,sul2,secondary_effluent,18,23,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,sul,sul2,sludge,17,43,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,bla,blaTEM,final_effluent,17,33,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,bla,blaCTX-M,matrix_unclear,16,66,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetA,sludge,16,35,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetW,sludge,15,22,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetO,matrix_unclear,14,43,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,sul,sul2,final_effluent,14,27,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,erm,ermB,sludge,14,22,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetA,final_effluent,13,24,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetA,influent,13,24,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetX,sludge,12,31,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetW,influent,12,25,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetM,influent,12,15,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,other,vanA,matrix_unclear,11,34,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,bla,blaCTX-M,final_effluent,11,22,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,qnr,qnrS,final_effluent,11,19,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetO,influent,11,17,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetM,final_effluent,11,16,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetC,matrix_unclear,10,31,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetX,matrix_unclear,10,28,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetQ,sludge,10,17,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,qnr,qnrS,influent,10,12,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetQ,influent,10,12,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetW,final_effluent,9,28,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetO,sludge,9,25,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,intI1,intI1,other_known,9,23,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,bla,blaKPC,final_effluent,9,21,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,sul,sul1,other_known,9,21,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetQ,matrix_unclear,9,16,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetO,final_effluent,9,10,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetC,sludge,8,23,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,other,vanA,influent,8,16,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetA,secondary_effluent,8,16,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,bla,blaTEM,secondary_effluent,8,12,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,other,bacA,matrix_unclear,8,12,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,other,mcr-1,influent,8,12,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,qnr,qnrS,secondary_effluent,8,10,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetB,matrix_unclear,7,34,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,bla,blaKPC,matrix_unclear,7,33,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,other,mcr-1,matrix_unclear,7,32,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,sul,sul3,matrix_unclear,7,25,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetM,sludge,7,24,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,other,intI2,matrix_unclear,7,20,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetG,matrix_unclear,7,18,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,bla,blaTEM,sludge,7,17,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,bla,blaCTX-M,influent,7,12,reported detection only; not prevalence denominator
v1.0,2026-06-27,20260627,tet,tetC,final_effluent,7,12,reported detection only; not prevalence denominator
