gene_family,route,source_cohort_id,source_cohort_rows,source_cohort_studies,analysis_scope_rows,analysis_scope_studies,n_studies,n_rows,median_study_level,iqr_low_study_level,iqr_high_study_level,min_study_level,max_study_level,bootstrap_median_ci_low,bootstrap_median_ci_high,display_unit,descriptive_synthesis_mode,pooled_mean_dl_from_20260626,pooled_ci_low_dl_from_20260626,pooled_ci_high_dl_from_20260626,i2_percent_from_20260626_analysis_clean,i2_source_synthesis_mode,i2_source_n_studies,i2_source_n_rows,i2_source_note
tet,influent_to_final_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,11,18,2.0,1.925,2.9975,0.2,4.47,1.85,3.0,log10 reduction,median_iqr_bootstrap_ci,2.3665966323435064,1.7657063226692724,2.9674869420177403,95.6143100914921,pooled_random_effects,11.0,18.0,I2/pooled diagnostic from 20260626 analysis-clean synthesis; frozen n columns are recomputed here.
tet,secondary_effluent_to_final_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,7,26,2.455,1.7,2.585,0.41,3.2800000000000002,1.0,2.61,log10 reduction,list_or_descriptive_lt_min_studies,,,,,descriptive_only,7.0,26.0,I2 not estimated for this frozen cell.
tet,influent_to_secondary_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,5,7,1.34,0.3,1.64,0.27,2.7,0.27,2.7,log10 reduction,list_or_descriptive_lt_min_studies,,,,,descriptive_only,5.0,7.0,I2 not estimated for this frozen cell.
tet,final_effluent_to_influent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,log10 reduction,list_or_descriptive_lt_min_studies,,,,,,,,I2 not estimated for this frozen cell.
sul,influent_to_final_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,10,16,2.1,1.32,3.0,0.2,4.79,1.2,3.18,log10 reduction,median_iqr_bootstrap_ci,2.2612602569346416,1.3760187394468295,3.146501774422453,99.08964981297372,pooled_random_effects,10.0,16.0,I2/pooled diagnostic from 20260626 analysis-clean synthesis; frozen n columns are recomputed here.
sul,secondary_effluent_to_final_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,8,23,2.17,2.03375,2.70875,1.48,3.49,2.0,2.97,log10 reduction,list_or_descriptive_lt_min_studies,,,,,descriptive_only,8.0,23.0,I2 not estimated for this frozen cell.
sul,influent_to_secondary_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,5,7,1.0,1.0,1.3,0.8200000000000001,2.06,0.8200000000000001,2.06,log10 reduction,list_or_descriptive_lt_min_studies,,,,,descriptive_only,5.0,7.0,I2 not estimated for this frozen cell.
sul,activated_sludge_to_secondary_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,1,1,1.28,1.28,1.28,1.28,1.28,1.28,1.28,log10 reduction,list_or_descriptive_lt_min_studies,,,,,list_only,1.0,1.0,I2 not estimated for this frozen cell.
sul,final_effluent_to_influent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,log10 reduction,list_or_descriptive_lt_min_studies,,,,,,,,I2 not estimated for this frozen cell.
sul,influent_to_activated_sludge,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,1,1,1.46,1.46,1.46,1.46,1.46,1.46,1.46,log10 reduction,list_or_descriptive_lt_min_studies,,,,,list_only,1.0,1.0,I2 not estimated for this frozen cell.
