gene_family,route,source_cohort_id,source_cohort_rows,source_cohort_studies,analysis_scope_rows,analysis_scope_studies,n_studies,n_rows,median_study_level,iqr_low_study_level,iqr_high_study_level,min_study_level,max_study_level,bootstrap_median_ci_low,bootstrap_median_ci_high,display_unit,descriptive_synthesis_mode,frozen_dl_n_studies,frozen_dl_n_rows,pooled_mean_dl_frozen,pooled_ci_low_dl_frozen,pooled_ci_high_dl_frozen,i2_percent_frozen,q_frozen,tau2_dl_frozen,variance_imputation,imputed_sampling_variance,frozen_dl_synthesis_mode,dl_method,effect_input,variance_source,frozen_dl_study_n_match,frozen_dl_row_n_match,i2_pooled_source
tet,influent_to_final_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,11,18,2.0,1.925,2.9975,0.2,4.47,1.85,3.0,log10 reduction,median_iqr_bootstrap_ci,11,18,2.3665966323435064,1.7657063226692724,2.9674869420177403,95.6143100914921,228.0142966925405,0.979487675527436,within-study median from frozen rows,0.05473055555555555,frozen_dl_ge10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,frozen_snapshot_direct_rerun
tet,secondary_effluent_to_final_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,7,26,2.455,1.7,2.585,0.41,3.28,1.0,2.61,log10 reduction,list_or_descriptive_lt_min_studies,7,26,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
tet,influent_to_secondary_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,5,7,1.34,0.3,1.64,0.27,2.7,0.27,2.7,log10 reduction,list_or_descriptive_lt_min_studies,5,7,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
tet,final_effluent_to_influent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,log10 reduction,list_or_descriptive_lt_min_studies,1,1,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
sul,influent_to_final_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,10,16,2.1,1.32,3.0,0.2,4.79,1.2,3.18,log10 reduction,median_iqr_bootstrap_ci,10,16,2.2612602569346416,1.3760187394468297,3.1465017744224535,99.08964981297372,988.630543307638,2.017849217886036,within-study median from frozen rows,0.019460250000000005,frozen_dl_ge10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,frozen_snapshot_direct_rerun
sul,secondary_effluent_to_final_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,8,23,2.17,2.03375,2.70875,1.48,3.49,2.0,2.97,log10 reduction,list_or_descriptive_lt_min_studies,8,23,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
sul,influent_to_secondary_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,5,7,1.0,1.0,1.3,0.8200000000000001,2.06,0.8200000000000001,2.06,log10 reduction,list_or_descriptive_lt_min_studies,5,7,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
sul,activated_sludge_to_secondary_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,1,1,1.28,1.28,1.28,1.28,1.28,1.28,1.28,log10 reduction,list_or_descriptive_lt_min_studies,1,1,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
sul,final_effluent_to_influent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,log10 reduction,list_or_descriptive_lt_min_studies,1,1,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
sul,influent_to_activated_sludge,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,1,1,1.46,1.46,1.46,1.46,1.46,1.46,1.46,log10 reduction,list_or_descriptive_lt_min_studies,1,1,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
