gene_family,matrix_bucket,unit_track,source_cohort_id,source_cohort_rows,source_cohort_studies,analysis_scope_rows,analysis_scope_studies,n_studies,n_rows,median_log10_study_level,iqr_low_log10_study_level,iqr_high_log10_study_level,min_study_level,max_study_level,bootstrap_median_log10_ci_low,bootstrap_median_log10_ci_high,display_unit,descriptive_synthesis_mode,abundance_interpretation_note
tet,influent,liquid_absolute_log10_copies_per_mL_equivalent,M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML_V2_20260730,1127,109,596,84,12,57,5.45612679118177,5.1937500000000005,5.783471347053199,3.204119982655925,7.0,5.1225000000000005,5.850939350471597,log10 copies/mL equivalent,median_iqr_bootstrap_ci,Cross-study abundance landscape; not paired removal.
tet,secondary_effluent,liquid_absolute_log10_copies_per_mL_equivalent,M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML_V2_20260730,1127,109,596,84,8,15,4.961530545852156,4.351468369722525,5.549360657292527,2.998695158311656,6.204119982655925,3.923409696834772,6.145,log10 copies/mL equivalent,median_iqr_bootstrap_ci,Cross-study abundance landscape; not paired removal.
tet,final_effluent,liquid_absolute_log10_copies_per_mL_equivalent,M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML_V2_20260730,1127,109,596,84,14,66,4.195,3.05,4.9560959980719215,1.0,6.309703205443389,3.0,5.1,log10 copies/mL equivalent,median_iqr_bootstrap_ci,Cross-study abundance landscape; not paired removal.
tet,sludge,liquid_absolute_log10_copies_per_mL_equivalent,M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML_V2_20260730,1127,109,596,84,2,3,4.845696342579112,2.4435445138686682,7.247848171289555,0.041392685158225,9.649999999999999,0.041392685158225,9.649999999999999,log10 copies/mL equivalent,list_or_descriptive_lt_min_studies,Cross-study abundance landscape; not paired removal.
sul,influent,liquid_absolute_log10_copies_per_mL_equivalent,M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML_V2_20260730,1127,109,596,84,21,45,6.5,5.7619278384205295,6.944033556703719,3.0,10.723455672035186,6.041392685158225,6.66,log10 copies/mL equivalent,median_iqr_bootstrap_ci,Cross-study abundance landscape; not paired removal.
sul,secondary_effluent,liquid_absolute_log10_copies_per_mL_equivalent,M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML_V2_20260730,1127,109,596,84,11,20,5.926342446625655,5.537334266376558,6.12554562952784,2.0256744494103445,7.301029995663981,5.388032263490821,6.176091259055681,log10 copies/mL equivalent,median_iqr_bootstrap_ci,Cross-study abundance landscape; not paired removal.
sul,final_effluent,liquid_absolute_log10_copies_per_mL_equivalent,M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML_V2_20260730,1127,109,596,84,20,61,5.2936949131693645,4.340673607281788,6.06013731207065,1.0,8.110137418612748,4.5,5.966866871964763,log10 copies/mL equivalent,median_iqr_bootstrap_ci,Cross-study abundance landscape; not paired removal.
sul,sludge,liquid_absolute_log10_copies_per_mL_equivalent,M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML_V2_20260730,1127,109,596,84,4,19,5.302652523070555,4.805377523085717,5.9862300109781135,3.6505149978319906,7.7,3.6505149978319906,7.7,log10 copies/mL equivalent,list_or_descriptive_lt_min_studies,Cross-study abundance landscape; not paired removal.
bla,influent,liquid_absolute_log10_copies_per_mL_equivalent,M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML_V2_20260730,1127,109,596,84,15,33,5.185299584791648,3.948196342579113,6.13,2.5,12.518513939877888,4.036732868029271,6.26,log10 copies/mL equivalent,median_iqr_bootstrap_ci,Cross-study abundance landscape; not paired removal.
bla,secondary_effluent,liquid_absolute_log10_copies_per_mL_equivalent,M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML_V2_20260730,1127,109,596,84,6,10,4.472499324020593,3.910073192020989,5.111024650356404,2.2,6.845098040014257,3.0225490200071286,6.023232120244732,log10 copies/mL equivalent,median_iqr_bootstrap_ci,Cross-study abundance landscape; not paired removal.
bla,final_effluent,liquid_absolute_log10_copies_per_mL_equivalent,M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML_V2_20260730,1127,109,596,84,19,50,3.3,2.9130374013504134,4.1462596844388235,0.0,8.278753600952829,3.0,4.104998648041184,log10 copies/mL equivalent,median_iqr_bootstrap_ci,Cross-study abundance landscape; not paired removal.
