gene_family,matrix_bucket,n_studies_reported_detected,n_rows_reported_detected,source_cohort_id,source_cohort_rows,source_cohort_studies,note
tet,influent,45,135,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
tet,secondary_effluent,26,52,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
tet,final_effluent,41,140,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
tet,sludge,40,212,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
tet,other_known,6,20,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
tet,matrix_unclear,91,573,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
sul,influent,64,132,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
sul,secondary_effluent,31,63,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
sul,final_effluent,51,128,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
sul,sludge,32,111,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
sul,other_known,10,31,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
sul,matrix_unclear,113,651,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
bla,influent,42,147,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
bla,secondary_effluent,19,52,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
bla,final_effluent,46,171,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
bla,sludge,19,62,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
bla,other_known,5,30,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
bla,matrix_unclear,77,613,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
intI1,influent,53,88,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
intI1,secondary_effluent,29,36,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
intI1,final_effluent,34,76,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
intI1,sludge,43,80,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
intI1,other_known,9,23,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
intI1,matrix_unclear,92,403,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
erm,influent,26,44,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
erm,secondary_effluent,9,13,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
erm,final_effluent,22,58,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
erm,sludge,22,46,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
erm,other_known,4,11,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
erm,matrix_unclear,59,233,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
qnr,influent,15,23,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
qnr,secondary_effluent,10,15,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
qnr,final_effluent,16,37,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
qnr,sludge,5,6,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
qnr,other_known,4,11,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
qnr,matrix_unclear,37,168,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
other,influent,39,77,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
other,secondary_effluent,13,19,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
other,final_effluent,24,58,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
other,sludge,24,78,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
other,other_known,7,25,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
other,matrix_unclear,74,350,M1_AXIS2_OCCURRENCE_DETECTION_ROW_LEVEL,5301,371,"Reported detection only; qualitative landscape, not prevalence."
