analysis_scope_rows,analysis_scope_studies,bootstrap_median_ci_high,bootstrap_median_ci_low,descriptive_synthesis_mode,display_unit,i2_absolute_reduction_vs_total_from_20260626,i2_percent_from_20260626_analysis_clean,i2_reduction_interpretation_from_20260626,i2_source_n_rows,i2_source_n_studies,i2_source_note,i2_source_synthesis_mode,iqr_high_study_level,iqr_low_study_level,max_study_level,median_study_level,min_study_level,n_rows,n_studies,pooled_ci_high_dl_from_20260626,pooled_ci_low_dl_from_20260626,pooled_mean_dl_from_20260626,source_cohort_id,source_cohort_rows,source_cohort_studies,subgroup,subgroup_type
185,45,1.28,1.28,list_or_descriptive_lt_min_studies,log10 reduction,,,,1.0,1.0,I2 diagnostic from 20260626 analysis-clean synthesis where available; frozen n columns are recomputed here.,list_only_lt5_studies,1.28,1.28,1.28,1.28,1.28,1,1,,,,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,activated_sludge_to_secondary_effluent,route
185,45,4.0,4.0,list_or_descriptive_lt_min_studies,log10 reduction,,,,,,I2 diagnostic from 20260626 analysis-clean synthesis where available; frozen n columns are recomputed here.,,4.0,4.0,4.0,4.0,4.0,3,1,,,,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,final_effluent_to_influent,route
185,45,1.0,1.0,list_or_descriptive_lt_min_studies,log10 reduction,,,,,,I2 diagnostic from 20260626 analysis-clean synthesis where available; frozen n columns are recomputed here.,,1.0,1.0,1.0,1.0,1.0,1,1,,,,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,final_effluent_to_receiving_water_downstream,route
185,45,1.46,1.46,list_or_descriptive_lt_min_studies,log10 reduction,,,,1.0,1.0,I2 diagnostic from 20260626 analysis-clean synthesis where available; frozen n columns are recomputed here.,list_only_lt5_studies,1.46,1.46,1.46,1.46,1.46,1,1,,,,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,influent_to_activated_sludge,route
185,45,3.0,1.7,median_iqr_bootstrap_ci,log10 reduction,,99.53673217653414,,80.0,25.0,I2 diagnostic from 20260626 analysis-clean synthesis where available; frozen n columns are recomputed here.,random_effects_pooled_diagnostic,3.0,1.5,4.79,2.045,0.17,81,25,,,,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,influent_to_final_effluent,route
185,45,2.0,0.635,list_or_descriptive_lt_min_studies,log10 reduction,,78.98181059262424,,28.0,9.0,I2 diagnostic from 20260626 analysis-clean synthesis where available; frozen n columns are recomputed here.,descriptive_with_i2_diagnostic,1.92,0.8,2.7,1.085,0.3,28,9,,,,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,influent_to_secondary_effluent,route
185,45,1.88,1.88,list_or_descriptive_lt_min_studies,log10 reduction,,,,4.0,1.0,I2 diagnostic from 20260626 analysis-clean synthesis where available; frozen n columns are recomputed here.,list_only_lt5_studies,1.88,1.88,1.88,1.88,1.88,4,1,,,,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,primary_effluent_to_secondary_effluent,route
185,45,3.18,2.0,median_iqr_bootstrap_ci,log10 reduction,,93.31235713031228,,64.0,10.0,I2 diagnostic from 20260626 analysis-clean synthesis where available; frozen n columns are recomputed here.,random_effects_pooled_diagnostic,3.0100000000000002,2.0125,4.37,2.325,0.47,64,10,,,,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,secondary_effluent_to_final_effluent,route
185,45,2.0,2.0,list_or_descriptive_lt_min_studies,log10 reduction,,,,,,I2 diagnostic from 20260626 analysis-clean synthesis where available; frozen n columns are recomputed here.,,2.0,2.0,2.0,2.0,2.0,2,1,,,,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,sewage_sludge_to_anaerobic_sludge,route
170,40,2.3,0.94,median_iqr_bootstrap_ci,log10 reduction,12.533266487098246,86.72625255850595,moderate_i2_reduction,36.0,16.0,I2 diagnostic from 20260626 treatment-detail analysis-clean synthesis; frozen n columns are recomputed here.,random_effects_pooled_diagnostic,2.3012499999999996,0.895,3.8049999999999997,1.725,0.17,37,16,2.014432375332786,1.1846353002728487,1.5995338378028174,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,biological,treatment_4group
170,40,2.7,1.5299999999999998,median_iqr_bootstrap_ci,log10 reduction,0.2270211114273479,99.03249793417685,small_i2_reduction,94.0,17.0,I2 diagnostic from 20260626 treatment-detail analysis-clean synthesis; frozen n columns are recomputed here.,random_effects_pooled_diagnostic,2.7,1.5299999999999998,4.0,2.0,0.2,94,17,2.812857588654772,1.3337094163648766,2.0732835025098244,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,disinfection,treatment_4group
170,40,3.59,0.7000000000000001,list_or_descriptive_lt_min_studies,log10 reduction,3.1927850594828016,96.0667339861214,small_i2_reduction,18.0,6.0,I2 diagnostic from 20260626 treatment-detail analysis-clean synthesis; frozen n columns are recomputed here.,descriptive_with_i2_diagnostic,3.1350000000000002,1.3975,4.0,2.645,0.3,18,6,3.5037839965144317,1.089279698939598,2.2965318477270147,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,membrane,treatment_4group
170,40,4.07,1.06,list_or_descriptive_lt_min_studies,log10 reduction,,,not_estimable_lt5_studies,21.0,4.0,I2 not estimated for this treatment cell.,list_only_lt5_studies,3.6425,2.14,4.07,3.0,1.06,21,4,,,,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,physicochemical,treatment_4group
