metadata,category,denominator_scope,denominator_studies,studies_with_data,source,coverage_percent,note
route,axis1_removal_structure,M1_AXIS1_REMOVAL_CROSS_STAGE_ROUTE studies,73,73,frozen cohort snapshot,100.0,Coverage counted from frozen cohort only.
treatment_4group_non_unclear,axis1_removal_structure,M1_AXIS1_REMOVAL_CROSS_STAGE_ROUTE studies,73,65,frozen cohort snapshot,89.0,Coverage counted from frozen cohort only.
influent_COD,core_influent_quality,Axis1 removal + Axis2 liquid abundance core studies,160,16,m1_core_influent_quality_stratified_wide_20260628.csv,10.0,Standalone gap/rescue table; not used to alter frozen cohort counts.
influent_BOD,core_influent_quality,Axis1 removal + Axis2 liquid abundance core studies,160,8,m1_core_influent_quality_stratified_wide_20260628.csv,5.0,Standalone gap/rescue table; not used to alter frozen cohort counts.
influent_TN,core_influent_quality,Axis1 removal + Axis2 liquid abundance core studies,160,12,m1_core_influent_quality_stratified_wide_20260628.csv,7.5,Standalone gap/rescue table; not used to alter frozen cohort counts.
influent_NH4,core_influent_quality,Axis1 removal + Axis2 liquid abundance core studies,160,12,m1_core_influent_quality_stratified_wide_20260628.csv,7.5,Standalone gap/rescue table; not used to alter frozen cohort counts.
influent_TP,core_influent_quality,Axis1 removal + Axis2 liquid abundance core studies,160,13,m1_core_influent_quality_stratified_wide_20260628.csv,8.1,Standalone gap/rescue table; not used to alter frozen cohort counts.
influent_TSS,core_influent_quality,Axis1 removal + Axis2 liquid abundance core studies,160,14,m1_core_influent_quality_stratified_wide_20260628.csv,8.8,Standalone gap/rescue table; not used to alter frozen cohort counts.
influent_pH,core_influent_quality,Axis1 removal + Axis2 liquid abundance core studies,160,19,m1_core_influent_quality_stratified_wide_20260628.csv,11.9,Standalone gap/rescue table; not used to alter frozen cohort counts.
operational_cofactor_HRT,operational_cofactor_gap_audit,20260626 removal-cohort cofactor audit studies,264,75,cofactor_normalized_vs_parsed_gap_summary_20260626.csv,28.4,Standalone gap/rescue table; not used to alter frozen cohort counts.
operational_cofactor_SRT,operational_cofactor_gap_audit,20260626 removal-cohort cofactor audit studies,264,26,cofactor_normalized_vs_parsed_gap_summary_20260626.csv,9.8,Standalone gap/rescue table; not used to alter frozen cohort counts.
operational_cofactor_temperature,operational_cofactor_gap_audit,20260626 removal-cohort cofactor audit studies,264,80,cofactor_normalized_vs_parsed_gap_summary_20260626.csv,30.3,Standalone gap/rescue table; not used to alter frozen cohort counts.
operational_cofactor_pH,operational_cofactor_gap_audit,20260626 removal-cohort cofactor audit studies,264,71,cofactor_normalized_vs_parsed_gap_summary_20260626.csv,26.9,Standalone gap/rescue table; not used to alter frozen cohort counts.
operational_cofactor_COD,operational_cofactor_gap_audit,20260626 removal-cohort cofactor audit studies,264,6,cofactor_normalized_vs_parsed_gap_summary_20260626.csv,2.3,Standalone gap/rescue table; not used to alter frozen cohort counts.
