table_scope,source_cohort_id,source_cohort_rows,source_cohort_studies,dl_method,effect_input,variance_source,n_studies,n_rows,study_mean_median,study_mean_iqr_low,study_mean_iqr_high,gene_family,route,frozen_dl_synthesis_mode,pooled_mean_dl,pooled_ci_low_dl,pooled_ci_high_dl,i2_percent,q,tau2_dl,variance_imputation,imputed_sampling_variance,technology_supergroup_4group,subgroup,subgroup_type
A1_main_route_gene_forest,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,13,22,2.44,2.0,3.2,bla,influent_to_final_effluent,frozen_dl_ge10_studies,2.437690377164553,1.721161305539351,3.1542194487897546,97.88958803448065,568.6093613976878,1.698562042740075,within-study median from frozen rows,0.03683888888888888,,,
A1_main_route_gene_forest,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,8,11,2.4749999999999996,1.495,3.21625,erm,influent_to_final_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A1_main_route_gene_forest,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,7,8,1.4,1.295,1.65,intI1,influent_to_final_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A1_main_route_gene_forest,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,2,2,1.825,1.4125,2.2375,qnr,influent_to_final_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A1_main_route_gene_forest,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,10,16,2.1,1.27375,3.0,sul,influent_to_final_effluent,frozen_dl_ge10_studies,2.2612602569346416,1.3760187394468297,3.1465017744224535,99.08964981297372,988.630543307638,2.017849217886036,within-study median from frozen rows,0.019460250000000005,,,
A1_main_route_gene_forest,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,11,18,2.0,1.925,2.9975,tet,influent_to_final_effluent,frozen_dl_ge10_studies,2.3665966323435064,1.7657063226692724,2.9674869420177403,95.6143100914921,228.0142966925405,0.979487675527436,within-study median from frozen rows,0.05473055555555555,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,1,1,5.0,5.0,5.0,bla,final_effluent_to_influent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,13,22,2.44,2.0,3.2,bla,influent_to_final_effluent,frozen_dl_ge10_studies,2.437690377164553,1.721161305539351,3.1542194487897546,97.88958803448065,568.6093613976878,1.698562042740075,within-study median from frozen rows,0.03683888888888888,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,3,5,0.98,0.8816666666666666,2.34,bla,influent_to_secondary_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,2,4,1.205,0.8075,1.6025,bla,secondary_effluent_to_final_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,8,11,2.4749999999999996,1.495,3.21625,erm,influent_to_final_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,3,3,1.22,0.85,1.96,erm,influent_to_secondary_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,1,3,2.1066666666666665,2.1066666666666665,2.1066666666666665,erm,primary_effluent_to_secondary_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
