table,gene_family,route,n_studies,n_rows,pooled_mean_dl_from_20260626,pooled_ci_low_dl_from_20260626,pooled_ci_high_dl_from_20260626,i2_percent_from_20260626_analysis_clean,pooled_mean_dl_frozen,pooled_ci_low_dl_frozen,pooled_ci_high_dl_frozen,i2_percent_frozen,q_frozen,tau2_dl_frozen,frozen_dl_n_studies,frozen_dl_n_rows,frozen_dl_synthesis_mode,pooled_mean_delta_frozen_minus_import,i2_delta_frozen_minus_import,changed_vs_import,technology_supergroup_4group,subgroup_type,subgroup
A1,tet,influent_to_final_effluent,11,18,2.3665966323435064,1.7657063226692724,2.9674869420177403,95.6143100914921,2.3665966323435064,1.7657063226692724,2.9674869420177403,95.6143100914921,228.0142966925405,0.979487675527436,11,18,frozen_dl_ge10_studies,0.0,0.0,False,,,
A1,sul,influent_to_final_effluent,10,16,2.2612602569346416,1.3760187394468295,3.146501774422453,99.08964981297372,2.2612602569346416,1.3760187394468297,3.1465017744224535,99.08964981297372,988.630543307638,2.017849217886036,10,16,frozen_dl_ge10_studies,0.0,0.0,False,,,
A1,bla,influent_to_final_effluent,13,22,2.437690377164553,1.721161305539351,3.1542194487897546,97.88958803448064,2.437690377164553,1.721161305539351,3.1542194487897546,97.88958803448065,568.6093613976878,1.698562042740075,13,22,frozen_dl_ge10_studies,0.0,1.4210854715202004e-14,False,,,
A2,tet,influent_to_final_effluent,11,18,2.3665966323435064,1.7657063226692724,2.9674869420177403,95.6143100914921,2.3665966323435064,1.7657063226692724,2.9674869420177403,95.6143100914921,228.0142966925405,0.979487675527436,11,18,frozen_dl_ge10_studies,0.0,0.0,False,,,
A2,sul,influent_to_final_effluent,10,16,2.2612602569346416,1.3760187394468295,3.146501774422453,99.08964981297372,2.2612602569346416,1.3760187394468297,3.1465017744224535,99.08964981297372,988.630543307638,2.017849217886036,10,16,frozen_dl_ge10_studies,0.0,0.0,False,,,
A2,bla,influent_to_final_effluent,13,22,2.437690377164553,1.721161305539351,3.1542194487897546,97.88958803448064,2.437690377164553,1.721161305539351,3.1542194487897546,97.88958803448065,568.6093613976878,1.698562042740075,13,22,frozen_dl_ge10_studies,0.0,1.4210854715202004e-14,False,,,
A3,,,16,37,1.5995338378028174,1.1846353002728487,2.014432375332786,86.72625255850595,1.5707168667318057,1.1250432850601344,2.016390448403477,85.45309414254795,103.11471145127295,0.6407565924307898,16,37,frozen_dl_ge5_studies,-0.028816971071011777,-1.2731584159579938,True,biological,,
A3,,,17,94,2.0732835025098244,1.3337094163648766,2.812857588654772,99.03249793417685,2.0732835025098244,1.3337094163648766,2.812857588654772,99.03249793417685,1653.7432389239568,2.3108390102633183,17,94,frozen_dl_ge5_studies,0.0,0.0,False,disinfection,,
A3,,,6,18,2.2965318477270147,1.089279698939598,3.503783996514432,96.0667339861214,2.2965318477270142,1.0892796989395976,3.503783996514431,96.06673398612139,127.12081975532294,2.078272005646139,6,18,frozen_dl_ge5_studies,-4.440892098500626e-16,-1.4210854715202004e-14,False,membrane,,
C1,,,25,81,,,,99.53673217653414,2.2187296536533787,1.5866949073200685,2.850764399986689,99.47562444861204,4576.872422155205,2.4845175058428253,25,81,frozen_dl_ge5_studies,,-0.06110772792210639,True,,route,influent_to_final_effluent
C1,,,9,28,,,,78.98181059262424,1.172172563132929,0.8365071040874064,1.5078380221784515,78.98181059262424,38.062269993592395,0.1777196150250243,9,28,frozen_dl_ge5_studies,,0.0,False,,route,influent_to_secondary_effluent
C1,,,10,64,,,,93.31235713031228,2.5137945833412725,1.9320862182841094,3.0955029483984355,93.31235713031228,134.5765642001194,0.756618067095763,10,64,frozen_dl_ge5_studies,,0.0,False,,route,secondary_effluent_to_final_effluent
C1,,,16,37,1.5995338378028174,1.1846353002728487,2.014432375332786,86.72625255850595,1.5707168667318057,1.1250432850601344,2.016390448403477,85.45309414254795,103.11471145127295,0.6407565924307898,16,37,frozen_dl_ge5_studies,-0.028816971071011777,-1.2731584159579938,True,,treatment_4group,biological
C1,,,17,94,2.0732835025098244,1.3337094163648766,2.812857588654772,99.03249793417685,2.0732835025098244,1.3337094163648766,2.812857588654772,99.03249793417685,1653.7432389239568,2.3108390102633183,17,94,frozen_dl_ge5_studies,0.0,0.0,False,,treatment_4group,disinfection
C1,,,6,18,2.2965318477270147,1.089279698939598,3.503783996514432,96.0667339861214,2.2965318477270142,1.0892796989395976,3.503783996514431,96.06673398612139,127.12081975532294,2.078272005646139,6,18,frozen_dl_ge5_studies,-4.440892098500626e-16,-1.4210854715202004e-14,False,,treatment_4group,membrane
